"id","en","ru"
"MENU_NEW_GAME","New Game","Новая игра"
"MENU_LOAD_GAME","Load","Загрузить"
"MENU_OPTIONS","Options","Настройки"
"MENU_CREDITS","Credits","Авторы"
"MENU_MODS","Mods","Моды"
"MENU_CHANGELOG","Changelog","Изменения"
"MENU_EXIT","Exit","Выход"
"BUTTON_CLOSE","Close","Закрыть"
"DESCRIPTION_BASIC","Basics","Базовые"
"DESCRIPTION_APPEARANCE","Appearance","Внешние особенности"
"DESCRIPTION_PRIVATES","Privates","Половые органы"
"DESCRIPTION_VIRGIN_1","$He has a tight, [color=yellow]virgin pussy[/color].","У $his плотная, [color=yellow]девственная киска[/color]."
"DESCRIPTION_VIRGIN_2","$He has a [color=yellow]normal pussy[/color] below $his waist. ","У $his [color=yellow]обычная киска[/color] ниже $his талии."
"DESCRIPTION_NO_GENITALS","For some reason, $his crotch has no visible genitals.","По какой-то причине, у $his промежности нет видимых гениталий."
"DESCRIPTION_ENTRY_1","Behind the iron bars you see","За железными решётками вы видите"
"DESCRIPTION_ENTRY_2","In the mirror you see","В зеркале вы видите"
"DESCRIPTION_ENTRY_3","You see","Вы видите"
"DESCRIPTION_ENTRY_4","A tied and bound [color=yellow]$gender[/color] looks at you with fear and hatred.","Связанный и сцепленный [color=yellow]$gender[/color] смотрит на вас со страхом и ненавистью."
"DESCRIPTION_RACE_1","$He is","$He"
"DESCRIPTION_BODYSHAPE_HUMANOID","$His body is quite [color=yellow]normal[/color].","$His тело вполне [color=yellow]нормальное[/color]."
"DESCRIPTION_BODYSHAPE_BESTIAL","$His body resembles a human's, except for some [color=yellow]bestial features[/color] in $his face and body structure.","$His тело похоже на человеческое, за исключением некоторых [color=yellow]звериных особенностей[/color] в $his лице и структуре тела."
"DESCRIPTION_BEAUTY_UGLY","$He is rather [color=yellow]unsavory[/color] to look at.","$He весьма [color=yellow]непримечательный[/color] на вид."
"DESCRIPTION_BEAUTY_BORING","$His looks are [color=yellow]bland and unimpressive[/color].","$His внешний вид [color=yellow]мягкий и не впечатляющий[/color]."
"DESCRIPTION_BEAUTY_NORMAL","$He appears to be pretty [color=yellow]average[/color] looking. ","$He выглядит довольно[color=yellow]обычно[/color]. "
"DESCRIPTION_BEAUTY_CUTE","$His looks are quite [color=yellow]cute[/color] and appealing.","$His внешний вид весьма [color=yellow]милый[/color] и привлекательный."
"DESCRIPTION_OMITTED","Omitted.","Пропущено."
"RACE_HUMAN","Human","Человек"
"RACE_ELF","Elf","Эльф"
"PRONOUN_HE","he","он"
"PRONOUN_SHE","she","она"
"PRONOUN_HIM","him","ему"
"PRONOUN_HER","her","ее"
"PRONOUN_HERS","hers","её"
"PRONOUN_HIS","his","его"
